parametro,valor,ev
precio_billete_eur,10.0,-88.46
precio_billete_eur,20.0,-98.46
precio_billete_eur,30.0,-108.46
precio_billete_eur,40.0,-118.46
precio_billete_eur,50.0,-128.46
precio_billete_eur,60.0,-138.46
precio_billete_eur,70.0,-148.46
precio_billete_eur,80.0,-158.46
precio_billete_eur,90.0,-168.46
precio_billete_eur,100.0,-178.46
p_delay,0.01,-129.21
p_delay,0.038,-124.33
p_delay,0.066,-119.46
p_delay,0.094,-114.58
p_delay,0.121,-109.71
p_delay,0.149,-104.83
p_delay,0.177,-99.96
p_delay,0.205,-95.08
p_delay,0.233,-90.21
p_delay,0.261,-85.33
p_delay,0.289,-80.46
p_delay,0.316,-75.58
p_delay,0.344,-70.71
p_delay,0.372,-65.83
p_delay,0.4,-60.96
p_claim_denied,0.1,-108.46
p_claim_denied,0.17,-110.13
p_claim_denied,0.23,-111.79
p_claim_denied,0.3,-113.46
p_claim_denied,0.37,-115.13
p_claim_denied,0.43,-116.79
p_claim_denied,0.5,-118.46
p_claim_denied,0.57,-120.13
p_claim_denied,0.63,-121.79
p_claim_denied,0.7,-123.46
